Virtual environment activated.
Epoch 1/30 | VAL Dice=0.297 IoU=0.188 BF1=0.148 Δβ0=10.16 Δβ1=0.89 PD=0.371 | geom=E-only topo_w=0.25
Epoch 2/30 | VAL Dice=0.302 IoU=0.192 BF1=0.169 Δβ0=10.25 Δβ1=2.24 PD=0.392 | geom=E-only topo_w=0.25
Epoch 3/30 | VAL Dice=0.307 IoU=0.196 BF1=0.187 Δβ0=10.25 Δβ1=1.28 PD=0.391 | geom=E-only topo_w=0.25
Epoch 4/30 | VAL Dice=0.309 IoU=0.199 BF1=0.172 Δβ0=9.97 Δβ1=1.28 PD=0.364 | geom=E-only topo_w=0.25
Epoch 5/30 | VAL Dice=0.308 IoU=0.197 BF1=0.172 Δβ0=10.24 Δβ1=1.31 PD=0.366 | geom=E-only topo_w=0.25
Epoch 6/30 | VAL Dice=0.309 IoU=0.198 BF1=0.154 Δβ0=10.25 Δβ1=2.89 PD=0.375 | geom=E-only topo_w=0.25
Epoch 7/30 | VAL Dice=0.309 IoU=0.198 BF1=0.165 Δβ0=10.87 Δβ1=2.48 PD=0.376 | geom=E-only topo_w=0.25
Epoch 8/30 | VAL Dice=0.311 IoU=0.200 BF1=0.169 Δβ0=10.90 Δβ1=1.28 PD=0.377 | geom=E-only topo_w=0.25
Epoch 9/30 | VAL Dice=0.312 IoU=0.201 BF1=0.169 Δβ0=10.62 Δβ1=1.12 PD=0.361 | geom=E-only topo_w=0.25
Epoch 10/30 | VAL Dice=0.313 IoU=0.201 BF1=0.168 Δβ0=10.03 Δβ1=0.73 PD=0.279 | geom=E-only topo_w=0.25
Epoch 11/30 | VAL Dice=0.311 IoU=0.200 BF1=0.167 Δβ0=10.90 Δβ1=3.34 PD=0.283 | geom=E-only topo_w=0.25
Epoch 12/30 | VAL Dice=0.301 IoU=0.191 BF1=0.169 Δβ0=10.90 Δβ1=3.16 PD=0.366 | geom=E-only topo_w=0.25
Epoch 13/30 | VAL Dice=0.310 IoU=0.199 BF1=0.159 Δβ0=10.27 Δβ1=2.26 PD=0.315 | geom=E-only topo_w=0.25
Epoch 14/30 | VAL Dice=0.309 IoU=0.198 BF1=0.163 Δβ0=9.77 Δβ1=1.28 PD=0.371 | geom=E-only topo_w=0.25
Epoch 15/30 | VAL Dice=0.311 IoU=0.199 BF1=0.163 Δβ0=10.25 Δβ1=1.29 PD=0.370 | geom=E-only topo_w=0.25
Epoch 16/30 | VAL Dice=0.312 IoU=0.200 BF1=0.173 Δβ0=10.34 Δβ1=1.26 PD=0.285 | geom=E-only topo_w=0.25
Epoch 17/30 | VAL Dice=0.314 IoU=0.202 BF1=0.172 Δβ0=10.72 Δβ1=3.73 PD=0.281 | geom=E-only topo_w=0.25
Epoch 18/30 | VAL Dice=0.313 IoU=0.201 BF1=0.164 Δβ0=10.82 Δβ1=6.72 PD=0.281 | geom=E-only topo_w=0.25
Epoch 19/30 | VAL Dice=0.312 IoU=0.200 BF1=0.165 Δβ0=10.27 Δβ1=8.44 PD=0.280 | geom=E-only topo_w=0.25
Epoch 20/30 | VAL Dice=0.312 IoU=0.200 BF1=0.166 Δβ0=10.41 Δβ1=6.99 PD=0.292 | geom=E-only topo_w=0.25
Epoch 21/30 | VAL Dice=0.314 IoU=0.202 BF1=0.168 Δβ0=10.04 Δβ1=10.59 PD=0.292 | geom=E-only topo_w=0.25
Epoch 22/30 | VAL Dice=0.311 IoU=0.199 BF1=0.167 Δβ0=9.77 Δβ1=3.52 PD=0.280 | geom=E-only topo_w=0.25
Epoch 23/30 | VAL Dice=0.312 IoU=0.200 BF1=0.160 Δβ0=10.72 Δβ1=3.07 PD=0.281 | geom=E-only topo_w=0.25
Epoch 24/30 | VAL Dice=0.313 IoU=0.201 BF1=0.167 Δβ0=10.42 Δβ1=3.98 PD=0.284 | geom=E-only topo_w=0.25
Epoch 25/30 | VAL Dice=0.314 IoU=0.202 BF1=0.164 Δβ0=9.44 Δβ1=8.00 PD=0.282 | geom=E-only topo_w=0.25
Epoch 26/30 | VAL Dice=0.314 IoU=0.202 BF1=0.174 Δβ0=10.90 Δβ1=8.69 PD=0.287 | geom=E-only topo_w=0.25
Epoch 27/30 | VAL Dice=0.315 IoU=0.202 BF1=0.168 Δβ0=10.90 Δβ1=4.98 PD=0.291 | geom=E-only topo_w=0.25
Epoch 28/30 | VAL Dice=0.315 IoU=0.202 BF1=0.175 Δβ0=10.90 Δβ1=8.77 PD=0.285 | geom=E-only topo_w=0.25
Epoch 29/30 | VAL Dice=0.315 IoU=0.203 BF1=0.168 Δβ0=10.89 Δβ1=7.02 PD=0.290 | geom=E-only topo_w=0.25
Epoch 30/30 | VAL Dice=0.315 IoU=0.203 BF1=0.169 Δβ0=10.90 Δβ1=3.86 PD=0.296 | geom=E-only topo_w=0.25
[SELECT] min-PD in top-5: epoch=25 Dice=0.3145 PD=0.2816
Training complete. Best-by-Dice (reference): {'dice': 0.3153115019604966, 'iou': 0.20283812371728657, 'boundary_f1': 0.16927860411269977, 'betti0_err': 10.896396396396396, 'betti1_err': 3.864864864864865, 'pd_dist': 0.29567335433870756}
Training job completed!
