Virtual environment activated.
Epoch 1/30 | VAL Dice=0.255 IoU=0.156 BF1=0.076 Δβ0=9.78 Δβ1=5.61 PD=0.416 | geom=H⊕E⊕S topo_w=0.25
Epoch 2/30 | VAL Dice=0.270 IoU=0.166 BF1=0.111 Δβ0=10.90 Δβ1=5.61 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
Epoch 3/30 | VAL Dice=0.270 IoU=0.166 BF1=0.107 Δβ0=10.90 Δβ1=5.61 PD=0.381 | geom=H⊕E⊕S topo_w=0.25
Epoch 4/30 | VAL Dice=0.274 IoU=0.169 BF1=0.128 Δβ0=10.90 Δβ1=3.77 PD=0.377 | geom=H⊕E⊕S topo_w=0.25
Epoch 5/30 | VAL Dice=0.274 IoU=0.169 BF1=0.125 Δβ0=9.85 Δβ1=3.77 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
Epoch 6/30 | VAL Dice=0.275 IoU=0.170 BF1=0.129 Δβ0=10.25 Δβ1=3.77 PD=0.384 | geom=H⊕E⊕S topo_w=0.25
Epoch 7/30 | VAL Dice=0.276 IoU=0.171 BF1=0.144 Δβ0=10.25 Δβ1=3.77 PD=0.394 | geom=H⊕E⊕S topo_w=0.25
Epoch 8/30 | VAL Dice=0.277 IoU=0.172 BF1=0.146 Δβ0=10.24 Δβ1=3.61 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 9/30 | VAL Dice=0.277 IoU=0.172 BF1=0.142 Δβ0=10.23 Δβ1=4.69 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 10/30 | VAL Dice=0.278 IoU=0.173 BF1=0.140 Δβ0=9.96 Δβ1=2.89 PD=0.381 | geom=H⊕E⊕S topo_w=0.25
Epoch 11/30 | VAL Dice=0.280 IoU=0.174 BF1=0.147 Δβ0=10.25 Δβ1=2.89 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 12/30 | VAL Dice=0.284 IoU=0.177 BF1=0.158 Δβ0=9.86 Δβ1=2.89 PD=0.381 | geom=H⊕E⊕S topo_w=0.25
Epoch 13/30 | VAL Dice=0.282 IoU=0.176 BF1=0.148 Δβ0=10.25 Δβ1=2.89 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 14/30 | VAL Dice=0.284 IoU=0.177 BF1=0.159 Δβ0=10.21 Δβ1=12.12 PD=0.383 | geom=H⊕E⊕S topo_w=0.25
Epoch 15/30 | VAL Dice=0.287 IoU=0.179 BF1=0.162 Δβ0=9.50 Δβ1=1.27 PD=0.374 | geom=H⊕E⊕S topo_w=0.25
Epoch 16/30 | VAL Dice=0.285 IoU=0.178 BF1=0.161 Δβ0=10.25 Δβ1=29.13 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 17/30 | VAL Dice=0.286 IoU=0.179 BF1=0.162 Δβ0=10.09 Δβ1=12.36 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 18/30 | VAL Dice=0.280 IoU=0.175 BF1=0.185 Δβ0=9.35 Δβ1=2.89 PD=0.391 | geom=H⊕E⊕S topo_w=0.25
Epoch 19/30 | VAL Dice=0.287 IoU=0.180 BF1=0.155 Δβ0=10.24 Δβ1=2.47 PD=0.383 | geom=H⊕E⊕S topo_w=0.25
Epoch 20/30 | VAL Dice=0.286 IoU=0.179 BF1=0.162 Δβ0=10.25 Δβ1=2.05 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 21/30 | VAL Dice=0.288 IoU=0.181 BF1=0.159 Δβ0=9.78 Δβ1=29.86 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 22/30 | VAL Dice=0.289 IoU=0.181 BF1=0.160 Δβ0=10.25 Δβ1=55.61 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 23/30 | VAL Dice=0.288 IoU=0.180 BF1=0.173 Δβ0=10.16 Δβ1=38.58 PD=0.382 | geom=H⊕E⊕S topo_w=0.25
Epoch 24/30 | VAL Dice=0.290 IoU=0.182 BF1=0.159 Δβ0=9.65 Δβ1=34.77 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
Epoch 25/30 | VAL Dice=0.291 IoU=0.183 BF1=0.162 Δβ0=9.47 Δβ1=23.88 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
Epoch 26/30 | VAL Dice=0.292 IoU=0.184 BF1=0.163 Δβ0=9.70 Δβ1=10.17 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
Epoch 27/30 | VAL Dice=0.292 IoU=0.183 BF1=0.157 Δβ0=9.49 Δβ1=12.71 PD=0.376 | geom=H⊕E⊕S topo_w=0.25
Epoch 28/30 | VAL Dice=0.294 IoU=0.185 BF1=0.158 Δβ0=9.32 Δβ1=36.33 PD=0.377 | geom=H⊕E⊕S topo_w=0.25
Epoch 29/30 | VAL Dice=0.294 IoU=0.185 BF1=0.164 Δβ0=9.46 Δβ1=32.92 PD=0.375 | geom=H⊕E⊕S topo_w=0.25
Epoch 30/30 | VAL Dice=0.294 IoU=0.185 BF1=0.161 Δβ0=9.74 Δβ1=43.85 PD=0.379 | geom=H⊕E⊕S topo_w=0.25
[SELECT] min-PD in top-5: epoch=29 Dice=0.2938 PD=0.3754
Training complete. Best-by-Dice (reference): {'dice': 0.2940104096322446, 'iou': 0.18521069473511464, 'boundary_f1': 0.16055717439231304, 'betti0_err': 9.73873873873874, 'betti1_err': 43.846846846846844, 'pd_dist': 0.37890128571709103}
Training job completed!
